,Timestamp,dummy
0,2019-10,193
1,2019-11,1075
2,2019-12,1221
3,2020-01,2751
4,2020-02,2121
5,2020-03,3571
6,2020-04,3685
7,2020-05,4327
8,2020-06,1987
9,2020-07,1345
10,2020-08,1752
11,2020-09,1475
12,2020-10,1957
13,2020-11,2074
14,2020-12,1940
15,2021-01,1824
16,2021-02,1924
17,2021-03,2184
18,2021-04,2246
19,2021-05,1426
20,2021-06,857
21,2021-07,1114
22,2021-08,1177
23,2021-09,1133
24,2021-10,1149
25,2021-11,1350
26,2021-12,1351
27,2022-01,1139
28,2022-02,1214
29,2022-03,1238
30,2022-04,1055
31,2022-05,686
32,2022-06,373
33,2022-07,222
34,2022-08,256
35,2022-09,207
36,2022-10,147
37,2022-11,170
38,2022-12,184
39,2023-01,63
